Name,Timestamp,Content,Comments,Retweets,Likes,Tags,Mentions,Tweet ID,Handle,Sentiment,Contains False Info,Verify,Engagement
Eco Discussion,2024-07-01 13:49:34+00:00,"#NaturalDisasterViolent #storms and #heavyrains have triggered massive #landslides and dramatic flooding in #Switzerland, #France and #Italy. Extreme weather events have become more common globally as the climate crisis deepens.#climatecrisis #disaster #weatherpattern #Italia",0,0,1,"['#NaturalDisaster', '#storms', '#heavyrains', '#landslides', '#Switzerland', '#France', '#Italy', '#climatecrisis', '#disaster', '#weatherpattern', '#Italia']",[],tweet_id:1807773546414039212,@EcoDiscussion,-0.059722222222222225,False,False,1
Daily News - Trending | Breaking | Technology,2024-07-01 13:17:17+00:00,Hurricane Beryl Threatens Caribbean Islandshttps://savinews.com/hurricane-beryl-threatens-caribbean-islands/…#HurricaneBeryl #CaribbeanThreat #StormAlert #IslandDanger #WeatherWarning #TropicalStorm #EmergencyPreparedness #NaturalDisaster #StaySafe #PrayForCaribbean #hotnew,0,0,0,"['#HurricaneBeryl', '#CaribbeanThreat', '#StormAlert', '#IslandDanger', '#WeatherWarning', '#TropicalStorm', '#EmergencyPreparedness', '#NaturalDisaster', '#StaySafe', '#PrayForCaribbean', '#hotnew']",[],tweet_id:1807765421506064608,@mirror7news,0.0,False,False,0
Shohag,2024-07-01 12:55:41+00:00,"Hurricane Beryl Explosively Intensified - What’s Next?
Click here : https://newsnest.top/2024/06/hurricane-beryl-explosively-intensified.html…#BerylIntensifies #HurricaneAlert #StaySafe #PrepareNow #WeatherUpdate #HurricaneSeason #BePrepared #SafetyFirst #EmergencyPreparedness #NaturalDisaster",0,0,0,"['#BerylIntensifies', '#HurricaneAlert', '#StaySafe', '#PrepareNow', '#WeatherUpdate', '#HurricaneSeason', '#BePrepared', '#SafetyFirst', '#EmergencyPreparedness', '#NaturalDisaster']",[],tweet_id:1807759984677245142,@MdShohi70476789,0.0,False,False,0
Latuwa News,2024-07-01 10:19:57+00:00,Haridwar में सुखी नदी में बाढ़ के कारण कई वाहन बह गए   #HaridwarFlood #SukhiRiverFlood #GangaRiverFlood #UttarakhandFloods#MonsoonMayhem #RainfallAlert#FloodWarning #IndiaWeatherUpdate #NaturalDisaster #FloodReliefEfforts,0,0,0,"['#HaridwarFlood', '#SukhiRiverFlood', '#GangaRiverFlood', '#UttarakhandFloods', '#MonsoonMayhem', '#RainfallAlert', '#FloodWarning', '#IndiaWeatherUpdate', '#NaturalDisaster', '#FloodReliefEfforts']",[],tweet_id:1807720790953246903,@latuwanews,0.0,False,False,0
Asianet Newsable,2024-07-01 10:17:18+00:00,"Assam Flood Crisis Deepens: 671 Villages Under Water, 2.65 Lakh People Affected#AssamFloods #FloodCrisis #DisasterManagement #AssamNews #IndianMeteorologicalDepartment #FloodAlert #AssamGovernment #NaturalDisaster",0,0,2,"['#AssamFloods', '#FloodCrisis', '#DisasterManagement', '#AssamNews', '#IndianMeteorologicalDepartment', '#FloodAlert', '#AssamGovernment', '#NaturalDisaster']",[],tweet_id:1807720124792664456,@AsianetNewsEN,0.0,False,False,2
MyShorts,2024-07-01 08:06:31+00:00,"Tragic flood in #PenampangDistrict 1 dead, over 100 displaced. Female victim found after being swept away. State of disaster declared. Thoughts are with the affected families.  #PenampangFlood #DisasterDeclaration #FloodVictims #NaturalDisaster",0,0,0,"['#PenampangDistrict', '#PenampangFlood', '#DisasterDeclaration', '#FloodVictims', '#NaturalDisaster']",[],tweet_id:1807687211984597025,@ShortsMalaysia,-0.25625,False,False,0
Firmus News Network,2024-07-01 08:03:31+00:00,"Due to heavy rainfall, the water level of the Ganga in Haridwar has surged, leading to flooding of roads and vehicles floating. Officials are urging people to refrain from bathing in the river.#fnn #floodalert #haridwarlivevideo #naturaldisaster #weatherwarning #uttarakhand",0,0,0,"['#fnn', '#floodalert', '#haridwarlivevideo', '#naturaldisaster', '#weatherwarning', '#uttarakhand']",[],tweet_id:1807686457680687352,@FNNNewsIndia,-0.1625,False,False,0
Asia News Network,2024-07-01 07:31:29+00:00,"The flood-hit areas included the Tha Rua Monument intersection, the Ban Koh Kaew community, a road in front of Ban Pon housing estate, and a road in front of Blue Tree Choeng Thale Hotel. #NaturalDisaster #Thailand #TheNationhttps://asianews.network/heavy-overnight-rains-leave-many-areas-in-phuket-flooded/…",0,0,0,"['#NaturalDisaster', '#Thailand', '#TheNation']",[],tweet_id:1807678394802336023,@asianewsnetwork,0.0,False,False,0
Dëmin 明德,2024-07-01 07:09:34+00:00,We just experienced a huge flood in Valais—part of our built assets have vanished. Devastating times. #ValaisFlood #NaturalDisaster,0,0,0,"['#ValaisFlood', '#NaturalDisaster']",[],tweet_id:1807672882228539535,@deminism,0.06666666666666672,False,False,0
Bishnu PatIr,2024-07-01 07:07:13+00:00,"इस बड़ी बाढ़ आपदा में असम की मदद करें।

 #Assamfloods #Himanta #NarendraModi #Disaster #Floods#PM #centralgovt #Assam #Naturaldisaster #RiverflowsinAssam",0,0,0,"['#Assamfloods', '#Himanta', '#NarendraModi', '#Disaster', '#Floods', '#PM', '#centralgovt', '#Assam', '#Naturaldisaster', '#RiverflowsinAssam']",[],tweet_id:1807672290819121215,@imbishnu_18,0.0,False,False,0
