Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Eco Discussion,@EcoDiscussion,2024-07-01T13:49:34.000Z,False,"#NaturalDisasterViolent #storms and #heavyrains have triggered massive #landslides and dramatic flooding in #Switzerland, #France and #Italy. Extreme weather events have become more common globally as the climate crisis deepens.#climatecrisis #disaster #weatherpattern #Italia",0,0,1,31,"['#NaturalDisaster', '#storms', '#heavyrains', '#landslides', '#Switzerland', '#France', '#Italy', '#climatecrisis', '#disaster', '#weatherpattern', '#Italia']",[],[],https://pbs.twimg.com/profile_images/1691782847676239872/XDsw55aR_normal.png,https://x.com/EcoDiscussion/status/1807773546414039212,tweet_id:1807773546414039212
Daily News - Trending | Breaking | Technology,@mirror7news,2024-07-01T13:17:17.000Z,False,Hurricane Beryl Threatens Caribbean Islandshttps://savinews.com/hurricane-beryl-threatens-caribbean-islands/…#HurricaneBeryl #CaribbeanThreat #StormAlert #IslandDanger #WeatherWarning #TropicalStorm #EmergencyPreparedness #NaturalDisaster #StaySafe #PrayForCaribbean #hotnew,0,0,0,294,"['#HurricaneBeryl', '#CaribbeanThreat', '#StormAlert', '#IslandDanger', '#WeatherWarning', '#TropicalStorm', '#EmergencyPreparedness', '#NaturalDisaster', '#StaySafe', '#PrayForCaribbean', '#hotnew']",[],[],https://pbs.twimg.com/profile_images/1634420456416751617/EYfoXUvT_normal.jpg,https://x.com/mirror7news/status/1807765421506064608,tweet_id:1807765421506064608
Shohag,@MdShohi70476789,2024-07-01T12:55:41.000Z,False,"Hurricane Beryl Explosively Intensified - What’s Next?
Click here : https://newsnest.top/2024/06/hurricane-beryl-explosively-intensified.html…#BerylIntensifies #HurricaneAlert #StaySafe #PrepareNow #WeatherUpdate #HurricaneSeason #BePrepared #SafetyFirst #EmergencyPreparedness #NaturalDisaster",0,0,0,65,"['#BerylIntensifies', '#HurricaneAlert', '#StaySafe', '#PrepareNow', '#WeatherUpdate', '#HurricaneSeason', '#BePrepared', '#SafetyFirst', '#EmergencyPreparedness', '#NaturalDisaster']",[],[],https://pbs.twimg.com/profile_images/1634935088554074113/7aOZ_rWs_normal.png,https://x.com/MdShohi70476789/status/1807759984677245142,tweet_id:1807759984677245142
City Headlines,@CityHeadlines2,2024-07-01T12:40:23.000Z,False,"शहर बने समंदर, उत्तराखंड से गुजरात तक मचा हाहाकार #naturaldisaster #uttarakhand #gujarat",0,0,0,12,"['#naturaldisaster', '#uttarakhand', '#gujarat']",[],[],https://pbs.twimg.com/profile_images/1758742957090385920/dAZb_IWP_normal.jpg,https://x.com/CityHeadlines2/status/1807756136017203525,tweet_id:1807756136017203525
Hindi States,@HindiStates,2024-07-01T11:58:45.000Z,True,"Uttarakhand: #Kedarnath में ग्लेशियर टूटने से मची हलचल, प्रशासन ने की त्वरित कार्रवाई इस घटना से क्षेत्र में अफरा-तफरी मच गई और लोग अपनी जान बचाने के लिए इधर-उधर भागने लगे। #Uttarakhand #GlacierBurst #NaturalDisaster",0,0,0,27,"['#Kedarnath', '#Uttarakhand', '#GlacierBurst', '#NaturalDisaster']",[],[],https://pbs.twimg.com/profile_images/1800097062417227776/uhUu65UJ_normal.jpg,https://x.com/HindiStates/status/1807745655302963350,tweet_id:1807745655302963350
oasislibra+-,@oasislibra,2024-07-01T10:54:24.000Z,False,Nacancel kasi anlakas ng ulan #naturaldisaster ,0,1,1,260,['#naturaldisaster'],[],"['\\U0001f614', '\\U0001f614', '\\U0001f614']",https://pbs.twimg.com/profile_images/1769932670921052160/XTo8_cxJ_normal.jpg,https://x.com/oasislibra/status/1807729463242920413,tweet_id:1807729463242920413
Latuwa News,@latuwanews,2024-07-01T10:19:57.000Z,False,Haridwar में सुखी नदी में बाढ़ के कारण कई वाहन बह गए   #HaridwarFlood #SukhiRiverFlood #GangaRiverFlood #UttarakhandFloods#MonsoonMayhem #RainfallAlert#FloodWarning #IndiaWeatherUpdate #NaturalDisaster #FloodReliefEfforts,0,0,0,32,"['#HaridwarFlood', '#SukhiRiverFlood', '#GangaRiverFlood', '#UttarakhandFloods', '#MonsoonMayhem', '#RainfallAlert', '#FloodWarning', '#IndiaWeatherUpdate', '#NaturalDisaster', '#FloodReliefEfforts']",[],[],https://pbs.twimg.com/profile_images/1710949116401119232/xHvZXLhW_normal.jpg,https://x.com/latuwanews/status/1807720790953246903,tweet_id:1807720790953246903
Asianet Newsable,@AsianetNewsEN,2024-07-01T10:17:18.000Z,True,"Assam Flood Crisis Deepens: 671 Villages Under Water, 2.65 Lakh People Affected#AssamFloods #FloodCrisis #DisasterManagement #AssamNews #IndianMeteorologicalDepartment #FloodAlert #AssamGovernment #NaturalDisaster",0,0,2,157,"['#AssamFloods', '#FloodCrisis', '#DisasterManagement', '#AssamNews', '#IndianMeteorologicalDepartment', '#FloodAlert', '#AssamGovernment', '#NaturalDisaster']",[],[],https://pbs.twimg.com/profile_images/1755090694056685568/IkNMMxLU_normal.jpg,https://x.com/AsianetNewsEN/status/1807720124792664456,tweet_id:1807720124792664456
Sandesh,@sandeshnews,2024-07-01T08:39:55.000Z,False,કુદરતી આફતમાં car ડૂબે તો મળશે Insurance ? જાણો શું છે નિયમો#Monsoon2024 #Car #Insurance #CarInsuranceRules #NaturalDisasterhttps://sandesh.com/tech/utility-news-what-insurance-is-available-if-the-car-sinks-due-to-natural-disaster-after-rain-know-the-rules…વધુ સમાચાર વાંચવા ડાઉનલોડ કરો સંદેશ ન્યૂઝ એપ : https://sandesh.com/d,0,0,0,230,"['#Monsoon2024', '#Car', '#Insurance', '#CarInsuranceRules', '#NaturalDisaster']",[],[],https://pbs.twimg.com/profile_images/1691520231607283712/Mgeh5D2H_normal.jpg,https://x.com/sandeshnews/status/1807695619105886354,tweet_id:1807695619105886354
MyShorts,@ShortsMalaysia,2024-07-01T08:06:31.000Z,True,"Tragic flood in #PenampangDistrict 1 dead, over 100 displaced. Female victim found after being swept away. State of disaster declared. Thoughts are with the affected families.  #PenampangFlood #DisasterDeclaration #FloodVictims #NaturalDisaster",0,0,0,31,"['#PenampangDistrict', '#PenampangFlood', '#DisasterDeclaration', '#FloodVictims', '#NaturalDisaster']",[],['\\U0001f30a'],https://pbs.twimg.com/profile_images/1780207748749066240/ADjU4lDW_normal.jpg,https://x.com/ShortsMalaysia/status/1807687211984597025,tweet_id:1807687211984597025
